1s+PRES+kuacha	I leave	ninaacha
1s+PAST+kuacha	I left	niliacha
1s+FUT+kuacha	I will leave	nitaacha
1s+PERF+kuacha	I have left	nimeacha
NEG+1s+PRES+kuacha	I do not leave	siachi
NEG+1s+PAST+kuacha	I did not leave	sikuacha
NEG+1s+FUT+kuacha	I will not leave	sitaacha
NEG+1s+PERF+kuacha	I have not left	sijaacha
1p+PRES+kuacha	we leave	tunaacha
1p+PAST+kuacha	we left	tuliacha
1p+FUT+kuacha	we will leave	tutaacha
1p+PERF+kuacha	we have left	tumeacha
NEG+1p+PRES+kuacha	we do not leave	hatuachi
NEG+1p+PAST+kuacha	we did not leave	hatukuacha
NEG+1p+FUT+kuacha	we will not leave	hatutaacha
NEG+1p+PERF+kuacha	we have not left	hatujaacha
2s+PRES+kuacha	you leave	unaacha
2s+PAST+kuacha	you left	uliacha
2s+FUT+kuacha	you will leave	utaacha
2s+PERF+kuacha	you have left	umeacha
NEG+2s+PRES+kuacha	you do not leave	huachi
NEG+2s+PAST+kuacha	you did not leave	hukuacha
NEG+2s+FUT+kuacha	you will not leave	hutaacha
NEG+2s+PERF+kuacha	you have not left	hujaacha
2p+PRES+kuacha	you leave	mnaacha
2p+PAST+kuacha	you left	mliacha
2p+PAST+kuacha	you left	mliacha
2p+FUT+kuacha	you will leave	mtaacha
2p+PERF+kuacha	you have left	mmeacha
NEG+2p+PRES+kuacha	you do not leave	hamachi
NEG+2p+PAST+kuacha	you did not leave	hamkuacha
NEG+2p+FUT+kuacha	you will not leave	hamtaacha
NEG+2p+PERF+kuacha	you have not left	hamjaacha
3s+PRES+kuacha	(s)he leaves	anaacha
3s+PAST+kuacha	(s)he left	aliacha
3s+FUT+kuacha	(s)he will leave	ataacha
3s+PERF+kuacha	(s)he has left	ameacha
NEG+3s+PRES+kuacha	(s)he does not leave	haachi
NEG+3s+PAST+kuacha	(s)he did not leave	hakuacha
NEG+3s+FUT+kuacha	(s)he will not leave	hataacha
NEG+3s+PERF+kuacha	(s)he has not left	hajaacha
3p+PRES+kuacha	they leave	wanaacha
3p+PAST+kuacha	they left	waliacha
3p+FUT+kuacha	they will leave	wataacha
3p+PERF+kuacha	they have left	wameacha
NEG+3p+PRES+kuacha	they do not leave	hawaachi
NEG+3p+PAST+kuacha	they did not leave	hawakuacha
NEG+3p+FUT+kuacha	they will not leave	hawataacha
NEG+3p+PERF+kuacha	they have not left	hawajaacha
2s+IMP+kuacha	leave	acha
2p+IMP+kuacha	leave	acheni
1s+PRES+kuagiza	I order	ninaagiza
1s+PAST+kuagiza	I ordered	niliagiza
1s+FUT+kuagiza	I will order	nitaagiza
1s+PERF+kuagiza	I have ordered	nimeagiza
NEG+1s+PRES+kuagiza	I do not order	siagizi
NEG+1s+PAST+kuagiza	I did not order	sikuagiza
NEG+1s+FUT+kuagiza	I will not order	sitaagiza
NEG+1s+PERF+kuagiza	I have not ordered	sijaagiza
1p+PRES+kuagiza	we order	tunaagiza
1p+PAST+kuagiza	we ordered	tuliagiza
1p+FUT+kuagiza	we will order	tutaagiza
1p+PERF+kuagiza	we have ordered	tumeagiza
NEG+1p+PRES+kuagiza	we do not order	hatuagizi
NEG+1p+PAST+kuagiza	we did not order	hatukuagiza
NEG+1p+FUT+kuagiza	we will not order	hatutaagiza
NEG+1p+PERF+kuagiza	we have not ordered	hatujaagiza
2s+PRES+kuagiza	you order	unaagiza
2s+PAST+kuagiza	you ordered	uliagiza
2s+FUT+kuagiza	you will order	utaagiza
2s+PERF+kuagiza	you have ordered	umeagiza
NEG+2s+PRES+kuagiza	you do not order	huagizi
NEG+2s+PAST+kuagiza	you did not order	hukuagiza
NEG+2s+FUT+kuagiza	you will not order	hutaagiza
NEG+2s+PERF+kuagiza	you have not ordered	hujaagiza
2p+PRES+kuagiza	you order	mnaagiza
2p+PAST+kuagiza	you ordered	mliagiza
2p+FUT+kuagiza	you will order	mtaagiza
2p+PERF+kuagiza	you have ordered	mmeagiza
NEG+2p+PRES+kuagiza	you do not order	hamagizi
NEG+2p+PAST+kuagiza	you did not order	hamkuagiza
NEG+2p+FUT+kuagiza	you will not order	hamtaagiza
NEG+2p+PERF+kuagiza	you have not ordered	hamjaagiza
3s+PRES+kuagiza	(s)he orders	anaagiza
3s+PAST+kuagiza	(s)he ordered	aliagiza
3s+FUT+kuagiza	(s)he will order	ataagiza
3s+PERF+kuagiza	(s)he has ordered	ameagiza
NEG+3s+PRES+kuagiza	(s)he does not order	haagizi
NEG+3s+PAST+kuagiza	(s)he did not order	hakuagiza
NEG+3s+FUT+kuagiza	(s)he will not order	hataagiza
