lose	lost	lost
forget	forgot	forgotten
say	said	said
hear	heard	heard
read	read	read
make	made	made
come from	came from	come from
send	sent	sent
bite	bit	bitten
sell	sold	sold
wear	wore	worn
break	broke	broken
think	thought	thought
put	put	put
go	went	gone
leave	left	left
tell	told	told
awaken	awoke	awoken
write	wrote	written
fall	fell	fallen
choose	chose	chosen
take	took	taken
go	went	gone
understand	understood	understood
drive	drove	driven
do	did	done
think	thought	thought
teach	taught	taught
feel	felt	felt
steal	stole	stolen
sing	sang	sung
come	came	come
build	built	built
know	knew	known
cut	cut	cut
run	ran	run
lose weight	lost weight	lost weight
grow up	grew up	grown up
eat	ate	eaten
sleep	slept	slept
bring	brought	brought
pay	paid	paid
mean	meant	meant
put on weight	put on weight	put on weight
buy	bought	bought
drink	drank	drunk
swim	swam	swum
see	saw	seen
speak	spoke	spoken
show	showed	shown
give	gave	given
get	got	gotten/got
take	took	taken
pass	passed
